zip_code_prefix,city,state_code,latitude,longitude,unique_index
1001,sao paulo,SP,-23.55027123580127,-46.63404671419185,1001_sao paulo_SP
1002,sao paulo,SP,-23.547657125819924,-46.634990509252304,1002_sao paulo_SP
1003,sao paulo,SP,-23.548991491863838,-46.63565342364827,1003_sao paulo_SP
1004,sao paulo,SP,-23.54982914119189,-46.634792029508745,1004_sao paulo_SP
1005,sao paulo,SP,-23.549487008784876,-46.636650259509196,1005_sao paulo_SP
1006,sao paulo,SP,-23.550126527377728,-46.63604449748152,1006_sao paulo_SP
1007,sao paulo,SP,-23.549952554421758,-46.637155224969106,1007_sao paulo_SP
1008,sao paulo,SP,-23.545832387811174,-46.6357748568096,1008_sao paulo_SP
1009,sao paulo,SP,-23.546823244718247,-46.63646088115627,1009_sao paulo_SP
1010,sao paulo,SP,-23.546439302347167,-46.6352603933944,1010_sao paulo_SP
1011,sao paulo,SP,-23.546635787708862,-46.63541799110013,1011_sao paulo_SP
1012,sao paulo,SP,-23.54780758661154,-46.63484393782474,1012_sao paulo_SP
1013,sao paulo,SP,-23.547173615806592,-46.63423526618314,1013_sao paulo_SP
1014,sao paulo,SP,-23.546137052876432,-46.633596671856715,1014_sao paulo_SP
1015,sao paulo,SP,-23.547453278685847,-46.632179646940735,1015_sao paulo_SP
1016,sao paulo,SP,-23.549094879405775,-46.632111638548466,1016_sao paulo_SP
1017,sao paulo,SP,-23.5494556250812,-46.63130341133385,1017_sao paulo_SP
1018,sao paulo,SP,-23.55135443999642,-46.632762349404075,1018_sao paulo_SP
1019,sao paulo,SP,-23.55177981410472,-46.63078430228562,1019_sao paulo_SP
1020,sao paulo,SP,-23.55221160889089,-46.62974496093933,1020_sao paulo_SP
1021,sao paulo,SP,-23.542760509069844,-46.632068974809,1021_sao paulo_SP
1022,sao paulo,SP,-23.5447808268089,-46.632062988389954,1022_sao paulo_SP
1023,sao paulo,SP,-23.542476540346616,-46.63139551195831,1023_sao paulo_SP
1024,sao paulo,SP,-23.54129200852859,-46.62987363351742,1024_sao paulo_SP
1025,sao paulo,SP,-23.54030305184919,-46.63108692434232,1025_sao paulo_SP
1026,sao paulo,SP,-23.539639337473716,-46.63222383464826,1026_sao paulo_SP
1027,sao paulo,SP,-23.538098874534025,-46.630470961476426,1027_sao paulo_SP
1028,sao paulo,SP,-23.535907614948652,-46.63367067555855,1028_sao paulo_SP
1029,sao paulo,SP,-23.540574380051,-46.63312870430693,1029_sao paulo_SP
1030,sao paulo,SP,-23.54053667787656,-46.63306990093089,1030_sao paulo_SP
1031,sao paulo,SP,-23.541357903344544,-46.634942269447954,1031_sao paulo_SP
1032,sao paulo,SP,-23.53990660945406,-46.63510145091716,1032_sao paulo_SP
1033,sao paulo,SP,-23.53893715715918,-46.63600044111117,1033_sao paulo_SP
1034,sao paulo,SP,-23.542551059216198,-46.63731863312644,1034_sao paulo_SP
1035,sao paulo,SP,-23.54177194468869,-46.64130667638727,1035_sao paulo_SP
1036,sao paulo,SP,-23.541904904047385,-46.6409619849889,1036_sao paulo_SP
1037,sao paulo,SP,-23.545497041957123,-46.63913559488178,1037_sao paulo_SP
1038,sao paulo,SP,-23.543879126646612,-46.63995414482916,1038_sao paulo_SP
1039,sao paulo,SP,-23.54134179223615,-46.63909044885898,1039_sao paulo_SP
1040,sao paulo,SP,-23.541310361905325,-46.638710138593936,1040_sao paulo_SP
1041,sao paulo,SP,-23.54405267064933,-46.639868053701385,1041_sao paulo_SP
1042,sao paulo,SP,-23.544723647986945,-46.64061595961861,1042_sao paulo_SP
1043,sao paulo,SP,-23.545752314880374,-46.64148143916985,1043_sao paulo_SP
1044,sao paulo,SP,-23.545556845099416,-46.64150085333575,1044_sao paulo_SP
1045,sao paulo,SP,-23.54245035597841,-46.64271110763996,1045_sao paulo_SP
1046,sao paulo,SP,-23.545839270149788,-46.64372186587571,1046_sao paulo_SP
1047,sao paulo,SP,-23.546093892861713,-46.64094913993112,1047_sao paulo_SP
1048,sao paulo,SP,-23.547043330954565,-46.63977201362359,1048_sao paulo_SP
1049,sao paulo,SP,-23.547460308793546,-46.639581800897325,1049_sao paulo_SP
1050,sao paulo,SP,-23.54918448256682,-46.64305021047952,1050_sao paulo_SP
1101,sao paulo,SP,-23.528286860378213,-46.631957535031056,1101_sao paulo_SP
1102,sao paulo,SP,-23.52793336747173,-46.630953438055755,1102_sao paulo_SP
1103,sao paulo,SP,-23.53564448920883,-46.628957868399795,1103_sao paulo_SP
1104,sao paulo,SP,-23.534978869008448,-46.62930120414795,1104_sao paulo_SP
1105,sao paulo,SP,-23.534160979143845,-46.62904232881417,1105_sao paulo_SP
1106,sao paulo,SP,-23.53015603403614,-46.628127048753164,1106_sao paulo_SP
1107,sao paulo,SP,-23.527411272407093,-46.62818974523777,1107_sao paulo_SP
1108,sao paulo,SP,-23.527232171325494,-46.63035441819986,1108_sao paulo_SP
1109,sao paulo,SP,-23.524742023073763,-46.626928981251915,1109_sao paulo_SP
1120,sao paulo,SP,-23.529895160257514,-46.63965745419833,1120_sao paulo_SP
1121,sao paulo,SP,-23.52762513868473,-46.63496850363346,1121_sao paulo_SP
1122,sao paulo,SP,-23.531017520315153,-46.638888124388195,1122_sao paulo_SP
1123,sao paulo,SP,-23.52899885670685,-46.63644454327774,1123_sao paulo_SP
1124,sao paulo,SP,-23.52845189837515,-46.63334344848351,1124_sao paulo_SP
1125,sao paulo,SP,-23.526866449456545,-46.64047966426979,1125_sao paulo_SP
1126,sao paulo,SP,-23.527366250757087,-46.6396273090183,1126_sao paulo_SP
1127,sao paulo,SP,-23.525824306501317,-46.64204512454138,1127_sao paulo_SP
1128,sao paulo,SP,-23.523933247497844,-46.64261540204674,1128_sao paulo_SP
1129,sao paulo,SP,-23.523830364662437,-46.64380226016742,1129_sao paulo_SP
1130,sao paulo,SP,-23.524811963718196,-46.644911697855385,1130_sao paulo_SP
1131,sao paulo,SP,-23.522408353720177,-46.63910252673595,1131_sao paulo_SP
1132,sao paulo,SP,-23.52278406067285,-46.64841327400502,1132_sao paulo_SP
1133,sao paulo,SP,-23.519990916902305,-46.65377696841709,1133_sao paulo_SP
1134,sao paulo,SP,-23.519599841358772,-46.651460468483705,1134_sao paulo_SP
1135,sao paulo,SP,-23.52553112615323,-46.65167891122211,1135_sao paulo_SP
1136,sao paulo,SP,-23.52432454611428,-46.66049298346615,1136_sao paulo_SP
1137,sao paulo,SP,-23.522931433793335,-46.65355529331532,1137_sao paulo_SP
1138,sao paulo,SP,-23.522270681553255,-46.65490549847339,1138_sao paulo_SP
1139,sao paulo,SP,-23.52047138737019,-46.66629968880812,1139_sao paulo_SP
1140,sao paulo,SP,-23.52001493965306,-46.669527160383666,1140_sao paulo_SP
1141,sao paulo,SP,-23.52102562690111,-46.66776269199859,1141_sao paulo_SP
1142,sao paulo,SP,-23.51993430515264,-46.6251300217966,1142_sao paulo_SP
1144,sao paulo,SP,-23.523615960248648,-46.67229793593617,1144_sao paulo_SP
1150,sao paulo,SP,-23.532682921368107,-46.65874805994824,1150_sao paulo_SP
1151,sao paulo,SP,-23.5311425595146,-46.65681556586264,1151_sao paulo_SP
1152,sao paulo,SP,-23.530101947182605,-46.655964831308104,1152_sao paulo_SP
1153,sao paulo,SP,-23.531555695132827,-46.652390860397084,1153_sao paulo_SP
1154,sao paulo,SP,-23.530168255102904,-46.65940521405175,1154_sao paulo_SP
1155,sao paulo,SP,-23.529435956644615,-46.66258230222831,1155_sao paulo_SP
1156,sao paulo,SP,-23.529831613421983,-46.66480216284539,1156_sao paulo_SP
1189,sao paulo,SP,-23.53210825506378,-46.63839470107914,1189_sao paulo_SP
1200,sao paulo,SP,-23.531567773241413,-46.64986907784642,1200_sao paulo_SP
1201,sao paulo,SP,-23.53610422438886,-46.64967592234284,1201_sao paulo_SP
1202,sao paulo,SP,-23.534110722426565,-46.647941286364585,1202_sao paulo_SP
1203,sao paulo,SP,-23.535596152013277,-46.6455837417538,1203_sao paulo_SP
1204,sao paulo,SP,-23.536115643341596,-46.64401444349138,1204_sao paulo_SP
1205,sao paulo,SP,-23.53525792856986,-46.643651102488924,1205_sao paulo_SP
1206,sao paulo,SP,-23.53560919837815,-46.64303052601136,1206_sao paulo_SP
1207,sao paulo,SP,-23.53918927899999,-46.63864179303099,1207_sao paulo_SP
1208,sao paulo,SP,-23.53813295562946,-46.638809997297585,1208_sao paulo_SP
1209,sao paulo,SP,-23.5407217737808,-46.641502856685065,1209_sao paulo_SP
1210,sao paulo,SP,-23.53980597512167,-46.641798628793815,1210_sao paulo_SP
1211,sao paulo,SP,-23.537308487522797,-46.64934768623507,1211_sao paulo_SP
1212,sao paulo,SP,-23.538948663886455,-46.6394907502013,1212_sao paulo_SP
1213,sao paulo,SP,-23.536758588421268,-46.64064130343515,1213_sao paulo_SP
1214,sao paulo,SP,-23.538411042447198,-46.64462423537073,1214_sao paulo_SP
1215,sao paulo,SP,-23.536235567173204,-46.64762953648119,1215_sao paulo_SP
1216,sao paulo,SP,-23.5327267757385,-46.64703025505133,1216_sao paulo_SP
1217,sao paulo,SP,-23.53218127944088,-46.64840522297426,1217_sao paulo_SP
1218,sao paulo,SP,-23.5307799412937,-46.64752358517307,1218_sao paulo_SP
1219,sao paulo,SP,-23.54147475871608,-46.6454333931964,1219_sao paulo_SP
1220,sao paulo,SP,-23.544569550467557,-46.64614815434244,1220_sao paulo_SP
1221,sao paulo,SP,-23.544511550646625,-46.648171366857795,1221_sao paulo_SP
1222,sao paulo,SP,-23.54595306082289,-46.64948422644433,1222_sao paulo_SP
1223,sao paulo,SP,-23.544162932258487,-46.64913067770511,1223_sao paulo_SP
1224,sao paulo,SP,-23.54158572632947,-46.65225744475816,1224_sao paulo_SP
1225,sao paulo,SP,-23.539905018109025,-46.64915979883602,1225_sao paulo_SP
1226,sao paulo,SP,-23.538676755471805,-46.65296272615542,1226_sao paulo_SP
1227,sao paulo,SP,-23.549104382345654,-46.65960539111818,1227_sao paulo_SP
1228,sao paulo,SP,-23.54695188569534,-46.65738387484484,1228_sao paulo_SP
1229,sao paulo,SP,-23.53874004766933,-46.65739630767724,1229_sao paulo_SP
1230,sao paulo,SP,-23.536656999747624,-46.657660010193744,1230_sao paulo_SP
1231,sao paulo,SP,-23.53718384723794,-46.65922875975411,1231_sao paulo_SP
1232,sao paulo,SP,-23.536307598376276,-46.6581552920985,1232_sao paulo_SP
1233,sao paulo,SP,-23.536862800004325,-46.661881452582534,1233_sao paulo_SP
1234,sao paulo,SP,-23.538981991503295,-46.66405733603434,1234_sao paulo_SP
1235,sao paulo,SP,-23.537266568200575,-46.6650642595746,1235_sao paulo_SP
1236,sao paulo,SP,-23.54386498192979,-46.66750719706018,1236_sao paulo_SP
1237,sao paulo,SP,-23.543300511167462,-46.6687558682218,1237_sao paulo_SP
1238,sao paulo,SP,-23.542646948495662,-46.65447095013924,1238_sao paulo_SP
1239,sao paulo,SP,-23.546017285295996,-46.64780913183334,1239_sao paulo_SP
1240,sao paulo,SP,-23.543622305586943,-46.65898101666968,1240_sao paulo_SP
1241,sao paulo,SP,-23.54543841163977,-46.65798675014666,1241_sao paulo_SP
1242,sao paulo,SP,-23.546330752349018,-46.6590146628787,1242_sao paulo_SP
1243,sao paulo,SP,-23.548189790553735,-46.65927138257235,1243_sao paulo_SP
1244,sao paulo,SP,-23.56580317220031,-46.65895824874389,1244_sao paulo_SP
1245,sao paulo,SP,-23.54977724718432,-46.66364066411289,1245_sao paulo_SP
1246,sao paulo,SP,-23.552902686423973,-46.66578836646661,1246_sao paulo_SP
1247,sao paulo,SP,-23.55063807285042,-46.66865580450115,1247_sao paulo_SP
1248,sao paulo,SP,-23.54777737656751,-46.668125620145425,1248_sao paulo_SP
1249,sao paulo,SP,-23.548828230361686,-46.67159962177562,1249_sao paulo_SP
1250,sao paulo,SP,-23.547629618153085,-46.67205128803162,1250_sao paulo_SP
1251,sao paulo,SP,-23.54849183191139,-46.675011982652464,1251_sao paulo_SP
1252,sao paulo,SP,-23.541762241727945,-46.67983781194653,1252_sao paulo_SP
1253,sao paulo,SP,-23.54492912635292,-46.679164692087,1253_sao paulo_SP
1254,sao paulo,SP,-23.54410454899899,-46.68008272173887,1254_sao paulo_SP
1255,sao paulo,SP,-23.546606527668732,-46.681476271485536,1255_sao paulo_SP
1256,sao paulo,SP,-23.54769704274337,-46.68297314757341,1256_sao paulo_SP
1257,sao paulo,SP,-23.543689902843013,-46.687628677117,1257_sao paulo_SP
1258,sao paulo,SP,-23.5439220737589,-46.68640619940932,1258_sao paulo_SP
1259,sao paulo,SP,-23.54116453128879,-46.68575563708778,1259_sao paulo_SP
1262,sao paulo,SP,-23.550856391462712,-46.67735184892536,1262_sao paulo_SP
1290,sao paulo,SP,-23.54096134139296,-46.657748702752585,1290_sao paulo_SP
1301,sao paulo,SP,-23.549403813744497,-46.650828162960416,1301_sao paulo_SP
1302,sao paulo,SP,-23.550483823683425,-46.65340663505252,1302_sao paulo_SP
